kommunenummer;kommunenavn;fylke
0301;Oslo;Oslo
3101;Halden;Østfold
3103;Moss;Østfold
3105;Sarpsborg;Østfold
3107;Fredrikstad;Østfold
3110;Hvaler;Østfold
3112;Råde;Østfold
3114;Våler;Østfold
3116;Skiptvet;Østfold
3118;Indre Østfold;Østfold
3120;Rakkestad;Østfold
3122;Marker;Østfold
3124;Aremark;Østfold
3201;Bærum;Akershus
3203;Asker;Akershus
3205;Lillestrøm;Akershus
3207;Nordre Follo;Akershus
3209;Ullensaker;Akershus
3212;Nesodden;Akershus
3214;Frogn;Akershus
3216;Vestby;Akershus
3218;Ås;Akershus
3220;Enebakk;Akershus
3222;Lørenskog;Akershus
3224;Rælingen;Akershus
3226;Aurskog-Høland;Akershus
3228;Nes;Akershus
3230;Gjerdrum;Akershus
3232;Nittedal;Akershus
3234;Lunner;Akershus
3236;Jevnaker;Akershus
3238;Nannestad;Akershus
3240;Eidsvoll;Akershus
3242;Hurdal;Akershus
3301;Drammen;Buskerud
3303;Kongsberg;Buskerud
3305;Ringerike;Buskerud
3310;Hole;Buskerud
3312;Lier;Buskerud
3314;Øvre Eiker;Buskerud
3316;Modum;Buskerud
3318;Krødsherad;Buskerud
3320;Flå;Buskerud
3322;Nesbyen;Buskerud
3324;Gol;Buskerud
3326;Hemsedal;Buskerud
3328;Ål;Buskerud
3330;Hol;Buskerud
3332;Sigdal;Buskerud
3334;Flesberg;Buskerud
3336;Rollag;Buskerud
3338;Nore og Uvdal;Buskerud
3401;Kongsvinger;Innlandet
3403;Hamar;Innlandet
3405;Lillehammer;Innlandet
3407;Gjøvik;Innlandet
3411;Ringsaker;Innlandet
3412;Løten;Innlandet
3413;Stange;Innlandet
3414;Nord-Odal;Innlandet
3415;Sør-Odal;Innlandet
3416;Eidskog;Innlandet
3417;Grue;Innlandet
3418;Åsnes;Innlandet
3419;Våler;Innlandet
3420;Elverum;Innlandet
3421;Trysil;Innlandet
3422;Åmot;Innlandet
3423;Stor-Elvdal;Innlandet
3424;Rendalen;Innlandet
3425;Engerdal;Innlandet
3426;Tolga;Innlandet
3427;Tynset;Innlandet
3428;Alvdal;Innlandet
3429;Folldal;Innlandet
3430;Os;Innlandet
3431;Dovre;Innlandet
3432;Lesja;Innlandet
3433;Skjåk;Innlandet
3434;Lom;Innlandet
3435;Vågå;Innlandet
3436;Nord-Fron;Innlandet
3437;Sel;Innlandet
3438;Sør-Fron;Innlandet
3439;Ringebu;Innlandet
3440;Øyer;Innlandet
3441;Gausdal;Innlandet
